cell_site,calling,called,startdate,enddate,duration
7964,3917088658,3783196518,1672567203,1672569136,1933
7580,3778266283,3780609808,1672536602,1672539911,3309
7959,3606987130,3490191091,1672663957,1672665089,1132
7519,3338703270,3774298222,1672552309,1672555400,3091
7739,3779740455,3236102733,1672584380,1672586184,1804
7794,3711380716,3713808837,1672645813,1672649211,3398
7622,3380035798,3478194807,1672657568,1672658527,959
7550,3208844525,3970117174,1672557373,1672560597,3224
7592,3518791447,3304056063,1672567920,1672568479,559
7623,3813052709,3476232529,1672656516,1672657454,938
7731,3855602893,3918674986,1672630847,1672632389,1542
7758,3206603608,3519152550,1672697216,1672698752,1536
7774,3302626661,3778108318,1672584062,1672586189,2127
7488,3517476351,3883861463,1672545375,1672548389,3014
7906,3451432842,3378436155,1672626284,1672626792,508
7643,3516960534,3397418363,1672625550,1672625905,355
7911,3201848640,3500803339,1672571099,1672571751,652
7645,3736229191,3512969370,1672639766,1672640167,401
7966,3514245078,3501692334,1672612212,1672613017,805
7910,3311274543,3887270940,1672669102,1672669851,749
7895,3859663348,3932051427,1672684630,1672685807,1177
7541,3249247700,3809059934,1672616335,1672619912,3577
7916,3454042520,3755436115,1672598286,1672599200,914
7817,3783705817,3244389794,1672555367,1672557531,2164
7556,3756966035,3777079686,1672658933,1672662232,3299
7944,3901877072,3737079798,1672681933,1672684336,2403
7914,3835382117,3276993580,1672648174,1672650370,2196
7573,3760294205,3683959482,1672632071,1672635326,3255
7686,3496269445,3513454145,1672560392,1672563232,2840
7571,3737154119,3318697153,1672605763,1672607076,1313
7718,3483164654,3886298125,1672620242,1672622523,2281
7820,3839849341,3510969660,1672587680,1672588727,1047
7973,3291883916,3501364586,1672636552,1672638100,1548
7529,3515284591,3303751772,1672673221,1672675982,2761
7572,3519703355,3500499542,1672542710,1672543952,1242
7601,3613995936,3837094550,1672641403,1672643799,2396
7553,3812176780,3336742544,1672614251,1672614539,288
7653,3793848402,3858918246,1672567849,1672568240,391
7620,3622054816,3772359096,1672533600,1672536549,2949
7673,3242408357,3505904952,1672663590,1672664074,484
7931,3715974031,3774268456,1672625670,1672627431,1761
7942,3516011407,3509630174,1672612188,1672614953,2765
7576,3716746253,3291227780,1672641232,1672641631,399
7693,3701274634,3757447189,1672654119,1672655390,1271
7732,3516258476,3516514391,1672702886,1672703691,805
7674,3778980116,3383922351,1672625636,1672627915,2279
7561,3613995936,3246596716,1672579486,1672582949,3463
7494,3287105466,3732481297,1672625556,1672627405,1849
7607,3613995936,3772746272,1672572850,1672574733,1883
7913,3711370563,3373384732,1672531480,1672534983,3503
7490,3820354437,3914259449,1672638330,1672640716,2386
7943,3624761861,3829764737,1672586631,1672589365,2734
7681,3336751428,3284832486,1672638181,1672640031,1850
7889,3302626661,3685818092,1672584647,1672586542,1895
7843,3783206719,3556951786,1672693334,1672695306,1972
7931,3516606733,3505649239,1672666328,1672669482,3154
7931,3710408395,3975287541,1672672587,1672674485,1898
7722,3825229501,3276993580,1672544798,1672545137,339
7866,3518014404,3505859863,1672633853,1672637071,3218
7675,3512567240,3220716272,1672572087,1672573020,933
7486,3909238838,3701146057,1672551064,1672554289,3225
7561,3933210486,3833889105,1672536995,1672539620,2625
7638,3756462516,3903962771,1672699156,1672699843,687
7892,3387966152,3224716315,1672591456,1672594495,3039
7748,3229058858,3935127663,1672612521,1672616084,3563
7552,3755872268,3511350608,1672615054,1672618029,2975
7784,3859525941,3534492426,1672538160,1672538229,69
7544,3622054816,3827626797,1672628893,1672630257,1364
7483,3809059934,3388372715,1672609790,1672610219,429
7791,3534424200,3391261292,1672551202,1672552484,1282
7892,3394539273,3351554343,1672652459,1672655162,2703
7651,3976390453,3307097200,1672624990,1672625651,661
7819,3774119563,3778341199,1672689160,1672692215,3055
7691,3760077057,3512567240,1672671422,1672674804,3382
7860,3505477652,3776066388,1672676360,1672676860,500
7730,3427219654,3533025282,1672664301,1672666738,2437
7912,3312829208,3826633236,1672628014,1672630511,2497
7529,3378436155,3880310724,1672612663,1672614785,2122
7932,3511271692,3783779671,1672630552,1672634069,3517
7651,3505649239,3610348516,1672691707,1672693549,1842
7899,3388637594,3756528686,1672692844,1672694550,1706
7633,3931941795,3887270940,1672607533,1672611011,3478
7673,3249401741,3777514571,1672611853,1672612496,643
7763,3774501422,3501184421,1672596650,1672598328,1678
7894,3774066725,3514283243,1672573390,1672574967,1577
7700,3505145247,3903962771,1672703825,1672707095,3270
7506,3773429448,3976633198,1672683313,1672686365,3052
7512,3604539807,3883085535,1672664115,1672665750,1635
7621,3221899927,3880285638,1672701377,1672703991,2614
7612,3510703546,3633420270,1672682317,1672683813,1496
7792,3772578994,3883085535,1672601074,1672603201,2127
7552,3779629905,3783206719,1672641615,1672642382,767
7728,3772053179,3533827120,1672625483,1672628280,2797
7785,3206603608,3312333615,1672578771,1672579365,594
7963,3336742544,3714197325,1672672155,1672675665,3510
7719,3828432634,3711262377,1672692304,1672693059,755
7887,3914290246,3855424474,1672642460,1672643356,896
7932,3518791447,3236102733,1672552766,1672553397,631
7695,3467773920,3311152102,1672637905,1672638636,731
7522,3501955238,3622054816,1672665975,1672666910,935
7692,3388637594,3826760240,1672688121,1672690348,2227
7850,3247815299,3510711755,1672650300,1672653897,3597
7621,3296471982,3777477395,1672612000,1672612349,349
7837,3972709319,3418534998,1672595427,1672598099,2672
7517,3513454145,3434642576,1672546909,1672550091,3182
7584,3883861463,3242408357,1672595574,1672598364,2790
7687,3972709319,3500803339,1672587708,1672590348,2640
7606,3511271692,3736229191,1672651494,1672653467,1973
7625,3277605882,3774050956,1672556411,1672559701,3290
7658,3399004969,3701274634,1672532250,1672534186,1936
7698,3505000737,3791334389,1672641094,1672642365,1271
7624,3533193862,3520730271,1672642188,1672644771,2583
7508,3518014404,3780609808,1672586673,1672588242,1569
7806,3776800213,3313541986,1672578947,1672582061,3114
7706,3730517636,3760561634,1672604137,1672604320,183
7808,3711380716,3285400528,1672557209,1672559554,2345
7849,3222521619,3510711755,1672632999,1672634300,1301
7853,3206254161,3791957752,1672655695,1672656164,469
7537,3713644518,3780828689,1672628005,1672630441,2436
7920,3496051529,3933210486,1672593681,1672595877,2196
7558,3202120784,3432689543,1672590974,1672593072,2098
7893,3891751546,3756930948,1672547580,1672549534,1954
7713,3817316561,3534424200,1672665895,1672666665,770
7752,3791602225,3637008488,1672571460,1672573042,1582
7557,3662180254,3792789881,1672551196,1672554707,3511
7678,3287105466,3516960534,1672671418,1672672083,665
7917,3520719611,3780609808,1672658268,1672658584,316
7789,3390068992,3512720680,1672602362,1672605690,3328
7651,3534702203,3688683847,1672597223,1672597451,228
7521,3311648200,3714488548,1672670490,1672671648,1158
7978,3772359096,3342131135,1672580767,1672582060,1293
7688,3777717988,3777079686,1672619101,1672620597,1496
7887,3976633198,3811694763,1672614557,1672614856,299
7612,3500229033,3774045700,1672594043,1672597059,3016
7547,3755798867,3488244966,1672656618,1672658459,1841
7663,3466229085,3288764520,1672645787,1672646289,502
7649,3780788622,3899266183,1672608506,1672609136,630
7730,3855424474,3626156564,1672668367,1672670142,1775
7511,3475258557,3755881905,1672661495,1672661905,410
7955,3711198793,3511862351,1672701739,1672704660,2921
7951,3909606423,3516716179,1672604558,1672605871,1313
7874,3559110998,3701178711,1672675502,1672676138,636
7962,3517509185,3428964059,1672659166,1672660803,1637
7865,3715998609,3792844210,1672650237,1672653023,2786
7608,3716746253,3344364444,1672564116,1672566053,1937
7531,3294803686,3736786443,1672645778,1672646498,720
7529,3881477378,3828624701,1672643415,1672645660,2245
7526,3618873142,3518014404,1672666884,1672668051,1167
7893,3757151210,3318166135,1672622589,1672624650,2061
7850,3827377568,3407725581,1672599640,1672600413,773
7784,3832902928,3348261553,1672551884,1672553714,1830
7902,3510380060,3533810360,1672657485,1672659945,2460
7925,3910454786,3909331423,1672677375,1672680670,3295
7830,3777936328,3510703546,1672626553,1672627723,1170
7640,3756424865,3489545239,1672604031,1672605740,1709
7885,3778341199,3337544549,1672538984,1672541560,2576
7690,3234541252,3714962248,1672596730,1672599153,2423
7739,3432689543,3939952128,1672652594,1672654378,1784
7821,3770763956,3493507965,1672619908,1672623268,3360
7536,3391261292,3505530961,1672568859,1672570061,1202
7869,3501692334,3736786443,1672559243,1672561643,2400
7736,3772746272,3930791338,1672612080,1672613504,1424
7738,3778305740,3736790081,1672659083,1672659748,665
7967,3392121505,3780503655,1672696738,1672697652,914
7615,3534424200,3600647945,1672619193,1672620145,952
7795,3911245524,3510173870,1672658365,1672659694,1329
7792,3859663348,3221899927,1672658669,1672661580,2911
7785,3533242305,3200691026,1672671558,1672674236,2678
7642,3477649378,3516629436,1672669977,1672670546,569
7709,3829764737,3793086311,1672672815,1672673393,578
7633,3779629905,3359910781,1672643010,1672646476,3466
7651,3714488548,3505193212,1672554698,1672554862,164
7948,3772884106,3773205565,1672668749,1672671088,2339
7502,3512837326,3716273414,1672618021,1672620151,2130
7915,3384240055,3246596716,1672578618,1672581960,3342
7815,3779629905,3779629905,1672544424,1672544760,336
7884,3685818092,3534488837,1672684345,1672685429,1084
7504,3780503655,3247428249,1672668445,1672668886,441
7971,3701498253,3249247700,1672675453,1672678342,2889
7670,3930797455,3483949762,1672629050,1672629283,233
7956,3666507626,3685187183,1672537523,1672538734,1211
7501,3793389510,3510703546,1672596199,1672599628,3429
7508,3855000166,3614238812,1672615723,1672615975,252
7809,3518791447,3383661227,1672620111,1672620991,880
7950,3315583351,3791115967,1672557827,1672559389,1562
7743,3235635976,3519601612,1672687056,1672687781,725
7598,3511312803,3773814927,1672547236,1672550259,3023
7842,3701967560,3465202715,1672574222,1672577262,3040
7776,3805347939,3611150562,1672631639,1672633042,1403
7817,3331845324,3711265369,1672571145,1672574108,2963
7954,3420432297,3715127362,1672666362,1672666957,595
7850,3930797455,3311648200,1672597436,1672599117,1681
7636,3478194807,3639847263,1672537297,1672540706,3409
7842,3780828689,3370752401,1672659384,1672659956,572
7770,3793436995,3365614305,1672699808,1672701961,2153
7949,3249401741,3397418363,1672639956,1672642791,2835
7983,3501955238,3774066725,1672574006,1672575973,1967
7632,3755881905,3770078063,1672541906,1672544468,2562
7757,3791594391,3415443558,1672548915,1672551581,2666
7821,3805292782,3514987389,1672659653,1672660883,1230
7929,3774125065,3757246925,1672609154,1672609359,205
7702,3778305740,3488244966,1672663819,1672665617,1798
7583,3857349323,3778305740,1672634438,1672636205,1767
7764,3792902982,3385763781,1672638033,1672639662,1629
7696,3811694763,3826760240,1672661475,1672663098,1623
7576,3496269445,3307512479,1672618910,1672621022,2112
7586,3774045700,3415546117,1672641269,1672644374,3105
7895,3910886626,3899371911,1672645735,1672646824,1089
7943,3792883665,3918674986,1672701038,1672703891,2853
7790,3359239884,3467773920,1672638758,1672642354,3596
7627,3505000737,3918674986,1672573966,1672576039,2073
7672,3407725581,3731106822,1672553215,1672556521,3306
7948,3518876135,3882997884,1672610734,1672613589,2855
7556,3484995752,3792473331,1672603108,1672603559,451
7906,3318697153,3516514391,1672663792,1672665651,1859
7529,3773664987,3776948966,1672586981,1672588735,1754
7484,3384240055,3880285638,1672701449,1672702160,711
7891,3731106822,3613683164,1672630918,1672631191,273
7530,3406784491,3202120784,1672632516,1672635466,2950
7756,3314836094,3515860749,1672537328,1672537828,500
7773,3514472925,3757246925,1672669610,1672672477,2867
7570,3701863557,3715189301,1672672226,1672672589,363
7599,3792844210,3482405588,1672634976,1672637874,2898
7952,3713808837,3883312122,1672556020,1672558562,2542
7855,3500894271,3206254161,1672595705,1672597132,1427
7798,3935127663,3555214688,1672635767,1672636592,825
7561,3473765852,3465254146,1672679407,1672679741,334
7960,3485375593,3397418363,1672550978,1672553505,2527
7664,3520376528,3791997875,1672606277,1672609441,3164
7775,3911159965,3554917400,1672669327,1672672130,2803
7722,3520165601,3701691675,1672650361,1672652845,2484
7844,3755436115,3902383721,1672609707,1672613163,3456
7554,3757246925,3221899927,1672649841,1672652309,2468
7610,3812176780,3779218771,1672677871,1672678102,231
7794,3298288268,3428674539,1672550335,1672553824,3489
7605,3202120784,3755798867,1672541208,1672543392,2184
7617,3837094550,3490191091,1672668630,1672670123,1493
7684,3757562897,3533242305,1672548554,1672549581,1027
7493,3756528686,3828365570,1672616244,1672616957,713
7537,3430352815,3979339287,1672552024,1672554159,2135
7670,3338367113,3520629279,1672535043,1672538032,2989
7590,3434642576,3510771358,1672684993,1672688361,3368
7904,3338367113,3311845971,1672609820,1672610446,626
7808,3772746272,3901877072,1672606509,1672607078,569
7634,3520931254,3757562897,1672658579,1672658868,289
7576,3249791738,3710344260,1672687811,1672689088,1277
7784,3618045231,3912536808,1672622256,1672622986,730
7510,3639847263,3973560347,1672623409,1672625739,2330
7812,3466911760,3777936328,1672689839,1672692357,2518
7767,3914259449,3773664987,1672661687,1672662054,367
7823,3424922204,3509672210,1672567763,1672568951,1188
7610,3711380716,3477375368,1672675388,1672678035,2647
7573,3481502100,3621810464,1672654705,1672655637,932
7627,3970117174,3793338102,1672588008,1672590735,2727
7611,3484995752,3307512479,1672553408,1672554881,1473
7757,3407954858,3774119563,1672556920,1672557311,391
7557,3756424865,3514472925,1672667290,1672667626,336
7530,3518360734,3713969578,1672538392,1672541123,2731
7658,3489217083,3512349371,1672572259,1672573437,1178
7713,3519069599,3209551760,1672626187,1672627269,1082
7626,3774010081,3510771358,1672690168,1672692145,1977
7618,3770101921,3501483568,1672698307,1672701611,3304
7639,3756424865,3534553510,1672565921,1672568873,2952
7943,3918674986,3520888296,1672559525,1672562698,3173
7848,3909331423,3475251781,1672542996,1672543080,84
7529,3777929708,3792768129,1672664180,1672667298,3118
7531,3793470489,3421127249,1672599897,1672602107,2210
7863,3773664987,3772714862,1672693773,1672696759,2986
7714,3920801189,3757562897,1672687978,1672688488,510
7703,3511687358,3760267716,1672560464,1672562087,1623
7748,3513164386,3777936328,1672616210,1672616796,586
7889,3496269445,3500487333,1672664475,1672666869,2394
7488,3772884106,3515284591,1672626599,1672627762,1163
7940,3510594211,3760294205,1672640945,1672642764,1819
7890,3392121505,3839849341,1672533000,1672535929,2929
7508,3859663348,3430074045,1672642114,1672642288,174
7697,3505912939,3778549126,1672569373,1672569548,175
7647,3701967560,3616944364,1672615413,1672616319,906
7634,3315583351,3777936328,1672576430,1672577618,1188
7770,3311761694,3229058858,1672696429,1672698415,1986
7542,3713268590,3311208440,1672651564,1672651680,116
7637,3513599775,3365614305,1672579526,1672579962,436
7490,3534313900,3829232696,1672569876,1672573249,3373
7703,3714962248,3703735129,1672585187,1672585358,171
7596,3399535232,3666506258,1672644452,1672644749,297
7686,3399004969,3248507722,1672637221,1672637711,490
7766,3731419510,3505530961,1672620539,1672623498,2959
7923,3209048907,3836573197,1672544342,1672546603,2261
7647,3344019610,3505962865,1672617862,1672618449,587
7586,3429856982,3801089989,1672699848,1672700513,665
7857,3793753089,3489728806,1672625466,1672627047,1581
7922,3229058858,3793338102,1672599393,1672601948,2555
7886,3533137446,3883312122,1672676443,1672676539,96
7880,3234362962,3484995752,1672627822,1672628278,456
7611,3774005526,3792789881,1672585262,1672587145,1883
7964,3359239884,3760492950,1672535070,1672538209,3139
7949,3716273414,3505135325,1672685352,1672685624,272
7620,3505599848,3280964728,1672538724,1672539245,521
7970,3755625324,3757161914,1672609791,1672611844,2053
7681,3793753089,3520730271,1672641013,1672643904,2891
7888,3770851318,3800353779,1672645067,1672645490,423
7948,3930797455,3311415018,1672577695,1672578342,647
7707,3302626661,3511350608,1672666994,1672667633,639
7845,3467773920,3338703270,1672648900,1672651862,2962
7929,3880285638,3777790718,1672574142,1672577532,3390
7542,3604539807,3490191091,1672555126,1672557588,2462
7821,3713969578,3220716272,1672538812,1672539493,681
7938,3533369198,3760561634,1672590968,1672592318,1350
7720,3304625412,3791957752,1672611948,1672613670,1722
7769,3617734118,3703871468,1672621986,1672624822,2836
7619,3756623396,3780365428,1672618442,1672621524,3082
7693,3480687894,3501759100,1672626874,1672628999,2125
7709,3770763956,3359239884,1672597057,1672597674,617
7939,3505530961,3816853177,1672578097,1672580507,2410
7489,3391915886,3805342762,1672563953,1672564893,940
7717,3711198793,3501483568,1672573166,1672575717,2551
7680,3500658339,3512540951,1672564392,1672566145,1753
7847,3356860407,3713786889,1672630376,1672631410,1034
7645,3409474775,3505859863,1672578042,1672580092,2050
7720,3511312803,3404384505,1672645381,1672646166,785
7570,3629547065,3915628728,1672667146,1672670370,3224
7948,3703441914,3388286531,1672671920,1672674256,2336
7935,3338367113,3774204963,1672662826,1672663201,375
7602,3915628728,3407725581,1672568034,1672568473,439
7714,3713370078,3909238838,1672701773,1672704956,3183
7685,3244485293,3809484172,1672607588,1672610990,3402
7544,3774050956,3783531004,1672608607,1672609351,744
7606,3772746272,3534729133,1672655510,1672658308,2798
7690,3736229191,3703871468,1672569040,1672570930,1890
7713,3313541986,3416241005,1672560981,1672562875,1894
7856,3501486692,3780609808,1672697760,1672700450,2690
7706,3774338212,3772884106,1672596095,1672596997,902
7812,3713349754,3714488548,1672615526,1672616574,1048
7490,3556951786,3512683609,1672664456,1672666683,2227
7746,3518014636,3249401741,1672544936,1672548398,3462
7558,3311718847,3930797455,1672583685,1672583895,210
7804,3510247121,3904408902,1672599186,1672599253,67
7938,3512166013,3772578994,1672685719,1672686350,631
7924,3828624701,3391915886,1672597360,1672598593,1233
7972,3912536808,3757151210,1672682755,1672684122,1367
7845,3703871468,3772359096,1672606774,1672608153,1379
7969,3400918687,3516909237,1672574511,1672576558,2047
7667,3813052709,3481647420,1672561814,1672565107,3293
7711,3703955926,3777079686,1672566317,1672568471,2154
7523,3388286531,3533385867,1672685115,1672687753,2638
7701,3416265063,3662180254,1672578577,1672580332,1755
7491,3518669703,3792177074,1672566550,1672569712,3162
7970,3610695419,3778308417,1672537804,1672538300,496
7837,3519601612,3711504540,1672623420,1672623884,464
7890,3978105277,3979339287,1672650129,1672653307,3178
7712,3513599775,3497901842,1672673627,1672675924,2297
7716,3519601612,3392121505,1672652164,1672654066,1902
7563,3793389510,3311627628,1672614703,1672615910,1207
7843,3829764737,3510771358,1672562624,1672564644,2020
7690,3517255726,3829319703,1672673310,1672673971,661
7659,3533653428,3244485293,1672644309,1672646708,2399
7686,3736592744,3770553384,1672639582,1672641341,1759
7810,3828432634,3208844525,1672661103,1672664284,3181
7621,3791997875,3451432842,1672622468,1672625874,3406
7977,3891751546,3715339701,1672621054,1672622407,1353
7667,3773120434,3416241005,1672593725,1672594872,1147
7891,3477375368,3757562897,1672613452,1672615050,1598
7658,3791553060,3711973519,1672697086,1672698608,1522
7856,3811171116,3500229033,1672547207,1672548136,929
7705,3409474775,3683959482,1672664003,1672664977,974
7548,3223968713,3713370078,1672619509,1672622785,3276
7652,3513454145,3855424474,1672620967,1672623877,2910
7960,3918674986,3827626797,1672538438,1672539219,781
7726,3511312803,3608868877,1672651377,1672652539,1162
7948,3755436115,3509672210,1672642914,1672645068,2154
7552,3224716315,3500499542,1672578382,1672578813,431
7649,3920801189,3711198793,1672572838,1672574663,1825
7921,3313541986,3307097200,1672630163,1672633683,3520
7708,3760569731,3500229033,1672617349,1672620218,2869
7851,3303751772,3520888296,1672678388,1672678559,171
7944,3485008994,3858918246,1672702619,1672705526,2907
7594,3466229085,3500994774,1672646618,1672647548,930
7860,3852391257,3505962865,1672539908,1672540119,211
7652,3510969660,3756623396,1672569774,1672569836,62
7668,3780639480,3922275416,1672594549,1672596030,1481
7689,3882242815,3811171116,1672605043,1672605154,111
7796,3496051529,3778780511,1672636111,1672637892,1781
7905,3791657947,3534492426,1672567564,1672567872,308
7663,3511198618,3703275621,1672551666,1672553304,1638
7705,3209383861,3898995675,1672584543,1672587134,2591
7724,3715492942,3505193212,1672555827,1672557424,1597
7739,3613995936,3755872268,1672583335,1672586352,3017
7888,3483949762,3284832486,1672610544,1672613168,2624
7496,3429856982,3736229191,1672657418,1672657674,256
7973,3520376528,3439023335,1672615388,1672616174,786
7653,3520206212,3277939457,1672646288,1672649795,3507
7587,3920801189,3834257412,1672636894,1672639592,2698
7832,3352603894,3633420270,1672630545,1672631543,998
7794,3770021824,3307097200,1672587995,1672589914,1919
7781,3550946908,3770824086,1672624404,1672626174,1770
7884,3772758337,3666506258,1672619077,1672622197,3120
7701,3466229085,3621810464,1672684443,1672685681,1238
7805,3337544549,3889232789,1672636627,1672639840,3213
7630,3777477395,3792384220,1672561053,1672561299,246
7714,3206593906,3772309150,1672609128,1672611492,2364
7745,3806545488,3559110998,1672597701,1672597976,275
7514,3453729665,3715974031,1672567625,1672568898,1273
7979,3639847263,3380035798,1672573822,1672574816,994
7603,3520751702,3853018906,1672703141,1672705866,2725
7786,3394330287,3809484172,1672625731,1672628303,2572
7509,3303705369,3483164654,1672563559,1672563640,81
7845,3780974443,3276993580,1672610834,1672610997,163
7912,3776513891,3388637594,1672685487,1672685806,319
7908,3533280269,3518932404,1672697277,1672697556,279
7679,3820354437,3519069599,1672586988,1672587182,194
7738,3312333615,3223789409,1672676546,1672679434,2888
7711,3247780536,3209027249,1672619024,1672622188,3164
7608,3311274543,3898995675,1672673906,1672676998,3092
7557,3520931254,3776066388,1672662959,1672664912,1953
7613,3685187183,3806545488,1672556306,1672559804,3498
7882,3783206719,3780914982,1672601417,1672604472,3055
7916,3307097200,3497901842,1672548268,1672550336,2068
7531,3760077057,3314245084,1672566802,1672568021,1219
7537,3855937514,3200691026,1672614661,1672614800,139
7900,3434642576,3312333615,1672695838,1672698987,3149
7553,3311761694,3734828619,1672668588,1672671273,2685
7813,3714821932,3501364586,1672629234,1672629944,710
7622,3711198793,3930791338,1672550892,1672552041,1149
7688,3882997884,3514245078,1672564123,1672566611,2488
7661,3488244966,3448855696,1672536973,1672540373,3400
7774,3715974031,3736790081,1672592324,1672594076,1752
7514,3406784491,3432689543,1672643072,1672644220,1148
7942,3780828689,3433804879,1672699743,1672702188,2445
7944,3909606423,3736592744,1672618633,1672620179,1546
7962,3533025282,3505193212,1672582599,1672583290,691
7674,3520012395,3229665776,1672596153,1672597860,1707
7742,3776066388,3512540951,1672698514,1672699513,999
7608,3853018906,3313564074,1672546393,1672548246,1853
7930,3399052055,3791602225,1672549509,1672550812,1303
7827,3703441914,3509634629,1672553066,1672556367,3301
7618,3278365525,3774005526,1672683712,1672684345,633
7579,3774366875,3634786711,1672700975,1672702066,1091
7961,3899371911,3757455053,1672534000,1672534953,953
7521,3409474775,3701065786,1672642296,1672645265,2969
7657,3780593036,3554917400,1672609914,1672611378,1464
7707,3505098372,3517476351,1672642142,1672645309,3167
7857,3703889596,3277939457,1672652565,1672653457,892
7772,3935627557,3755798867,1672627300,1672628461,1161
7655,3519700826,3703441914,1672696063,1672696440,377
7806,3608868877,3364543015,1672583498,1672586547,3049
7660,3249247700,3311274543,1672620140,1672620969,829
7503,3714197325,3817316561,1672587396,1672588545,1149
7906,3395152943,3621810464,1672538905,1672540786,1881
7790,3370752401,3394330287,1672585603,1672588326,2723
7865,3493507965,3925402713,1672650549,1672652318,1769
7760,3921211276,3611150562,1672564301,1672567110,2809
7934,3716835696,3517509185,1672547891,1672550216,2325
7911,3421836608,3336742544,1672630257,1672630781,524
7742,3783925755,3454042520,1672623974,1672626272,2298
7952,3412980697,3774338212,1672559587,1672561405,1818
7762,3774050956,3887270940,1672671526,1672672527,1001
7807,3483949762,3780788622,1672626011,1672627300,1289
7846,3880285638,3511267139,1672703630,1672703789,159
7648,3533270638,3386707783,1672693836,1672694604,768
7727,3244173074,3222448362,1672623661,1672626749,3088
7962,3606186086,3774556560,1672633712,1672635079,1367
7906,3344364444,3760077057,1672690292,1672692425,2133
7669,3902278226,3774119563,1672558220,1672561133,2913
7762,3316222192,3229058858,1672533935,1672534719,784
7672,3773950140,3778266283,1672600726,1672603203,2477
7920,3407673904,3509352754,1672541352,1672542044,692
7803,3779629905,3475251781,1672685043,1672685672,629
7580,3505912939,3829232696,1672643466,1672643788,322
7842,3701146057,3701534009,1672609682,1672611273,1591
7934,3778549126,3520751702,1672605989,1672606906,917
7947,3734737881,3311152102,1672614048,1672615751,1703
7778,3550946908,3500994774,1672637979,1672638894,915
7642,3793436995,3626156564,1672581008,1672583382,2374
7554,3806545488,3400918687,1672672666,1672675122,2456
7866,3513956646,3701178711,1672606107,1672607141,1034
7493,3533810360,3533371364,1672702826,1672705140,2314
7775,3975287541,3899204805,1672666326,1672668773,2447
7888,3505635228,3716168623,1672593375,1672594918,1543
7792,3660493209,3616944364,1672533482,1672536447,2965
7935,3209048907,3711262377,1672571341,1672573704,2363
7797,3701984666,3716843669,1672599904,1672601473,1569
7486,3227457126,3220716272,1672557666,1672557842,176
7765,3533369198,3494290908,1672550947,1672551124,177
7729,3365278081,3514987389,1672681959,1672684903,2944
7722,3625274012,3362000049,1672651497,1672654832,3335
7624,3779218771,3772884106,1672653279,1672655714,2435
7970,3735319397,3711504540,1672646371,1672647828,1457
7635,3365278081,3903962771,1672594399,1672597888,3489
7840,3500229033,3777806071,1672572812,1672574433,1621
7554,3774520233,3511163800,1672558993,1672561621,2628
7524,3930791338,3774501422,1672669278,1672672559,3281
7974,3772309150,3229665776,1672600464,1672603865,3401
7588,3774045700,3511862351,1672599093,1672600264,1171
7626,3776066388,3783531004,1672669677,1672672749,3072
